紅2	44	46
	廈竹圍	去	25.143970,121.393700
	八仙樂園	去	25.141980,121.390700
	土地公廟	去	25.054470,121.596082
	八里	去	25.146930,121.398400
	舊城里	去	25.147720,121.400200
	八里區公所	去	25.148590,121.401800
	八里服務站	去	25.148910,121.402900
	八里國小	去	25.149840,121.404300
	中廣公司	去	25.151865,121.405474
	山海觀	去	25.152950,121.406100
	仁愛街口	去	25.091833,121.471667
	田心(十三行博物館)	去	25.155890,121.408600
	公田	去	25.157350,121.410800
	埤頭里	去	25.158350,121.411700
	挖仔尾	去	25.159710,121.413900
	大竹圍	去	25.159390,121.416900
	大崁國小	去	25.159600,121.418800
	安老院	去	25.159240,121.421100
	大崁里	去	25.159000,121.422000
	乙天宮	去	25.158930,121.424600
